Cp1252
"RoleAssignmentActionAssign",a001,"Please change requested roles if required.","Please change requested roles if required.",""
"RoleAssignmentActionWizard",1001,"Assign Role","Assign Role",""
"RoleAssignmentActionWizard",1002,"View","View",""
"RoleAssignmentActionWizard",1003,"Activities","Activities",""
"RoleAssignmentActionWizard",1004,"Assign","Assign",""
"RoleAssignmentActivities",1000,"RoleAssignmentAction","RoleAssignmentAction",""
"RoleAssignmentActivities",1001,"Approval","Approval",""
"RoleAssignmentApprovalWizard",1001,"Role Approval","Role Approval",""
"RoleAssignmentApprovalWizard",1002,"View","View",""
"RoleAssignmentApprovalWizard",1003,"Activities","Activities",""
"RoleAssignmentApprovalWizard",1004,"Approve","Approve",""
"RoleAssignmentExit",a001,"Continue viewing","Continue viewing",""
"RoleAssignmentExit",a002,"Continue editing","Continue editing",""
"RoleAssignmentExit",a003,"To finish this wizard, push Cancel button.","To finish this wizard, push Cancel button.",""
"RoleAssignmentMainEntry",a001,"Title","Title",""
"RoleAssignmentMainEntry",a002,"Creator","Creator",""
"RoleAssignmentMainEntry",a003,"Requester","Requester",""
"RoleAssignmentMainEntry",a004,"Name","Name",""
"RoleAssignmentMainEntry",a005,"Description","Description",""
"RoleAssignmentMainEntry",a006,"Name","Name",""
"RoleAssignmentMainEntry",a007,"Please choose roles to request to be assigned.","Please choose roles to request to be assigned.",""
"RoleAssignmentMainEntry",a008,"Add","Add",""
"RoleAssignmentMainEntry",a009,"Remove","Remove",""
"RoleAssignmentMainEntry",a010,"Available Roles","Available Roles",""
"RoleAssignmentMainEntry",a011,"Requested Roles","Requested Roles",""
"RoleAssignmentMainEntry",a012,"Comment","Comment",""
"RoleAssignmentMainEntry",a013,"Please write your requirement","Please write your requirement",""
"RoleAssignmentMainView",a001,"Title","Title",""
"RoleAssignmentMainView",a002,"Creator","Creator",""
"RoleAssignmentMainView",a003,"Requester","Requester",""
"RoleAssignmentMainView",a004,"Available Roles","Available Roles",""
"RoleAssignmentMainView",a005,"Name","Name",""
"RoleAssignmentMainView",a006,"Description","Description",""
"RoleAssignmentMainView",a007,"Requested Roles","Requested Roles",""
"RoleAssignmentMainView",a008,"Name","Name",""
"RoleAssignmentMainView",a009,"Comment","Comment",""
"RoleAssignmentRequestUIValidator",1,"Missing title","Missing title",""
"RoleAssignmentRequestUIValidator",2,"Empty requested roles","Empty requested roles",""
"RoleAssignmentWizard",1001,"Role Assignment Request","Role Assignment Request",""
"RoleAssignmentWizard",1002,"Main","Main",""
"RoleAssignmentWizard",1003,"Activities","Activities",""
"RoleAssignmentWizard",1004,"Info","Info",""
