Cp1252
"ActivityAttachmentsContent",a001,"File","File",""
"ActivityAttachmentsContent",a005,"Update","Update",""
"ActivityAttachmentsContent",a008,"Add","Add",""
"ActivityAttachmentsContent",a009,"Upload Files","Upload Files",""
"ActivityAttachmentsContent",a010,"File","File",""
"ActivityAttachmentsContent",a011,"Date","Date",""
"ActivityAttachmentsContent",a012,"Type","Type",""
"ActivityAttachmentsContent",a013,"Size","Size",""
"ActivityAttachmentsContent",a014,"Date","Date",""
"ActivityAttachmentsContent",a015,"Type","Type",""
"ActivityAttachmentsContent",a016,"Size","Size",""
"ActivityAttachmentsContent",a017,"Download","Download",""
"ActivityAttachmentsContent",a018,"Download","Download",""
"ActivityAttachmentsContent",a019,"Remove","Remove",""
"ActivityCommentContent",a001,"Comment","Comment",""
"ApprovalContent",a001,"Approved","Approved",""
"ApprovalContent",a002,"Approved","Approved",""
"ApprovalContent",a003,"empty","empty",""
"ApprovalContent2",a001,"Approved","Approved",""
"ApprovalContent2",a002,"Approved","Approved",""
"ApprovalContent2",a003,"empty","empty",""
"ArrayView",a001,"unknown object type","unknown object type",""
"AttachmentsContent",1,"Maximum file size exceeded","Maximum file size exceeded",""
"ConfirmContent",a001,"Confirmed","Confirmed",""
"ConfirmContent",a002,"Confirmed","Confirmed",""
"ConfirmContent",a003,"empty","empty",""
"DictionaryView",1,"Dictionary","Dictionary",""
"DictionaryView",a001,"key","key",""
"DictionaryView",a002,"value","value",""
"DictionaryView",a003,"unknown object type","unknown object type",""
"FileUploadPanel",1,"Your upload exceeds the maximum allowable size","Your upload exceeds the maximum allowable size",""
"FileUploadPanel",a001,"Chooser file to upload","Chooser file to upload",""
"FileUploadPanel",a002,"Cancel","Cancel",""
"WorkflowAttachmentsContent",a005,"Update","Update",""
"WorkflowAttachmentsContent",a006,"File","File",""
"WorkflowAttachmentsContent",a007,"Date","Date",""
"WorkflowAttachmentsContent",a008,"Type","Type",""
"WorkflowAttachmentsContent",a009,"Size","Size",""
"WorkflowAttachmentsContent",a010,"File","File",""
"WorkflowAttachmentsContent",a011,"Date","Date",""
"WorkflowAttachmentsContent",a012,"Type","Type",""
"WorkflowAttachmentsContent",a013,"Size","Size",""
"WorkflowAttachmentsContent",a014,"Download","Download",""
"WorkflowAttachmentsContent",a015,"Download","Download",""
"WorkflowAttachmentsContent",a016,"Remove","Remove",""
"WorkflowAttachmentsContent",a017,"Add","Add",""
"WorkflowAttachmentsContent",a018,"Upload Files","Upload Files",""
"WorkflowCommentContent",a001,"Comment","Comment",""
"WorkflowInfoContent",a001,"Name","Name",""
"WorkflowInfoContent",a002,"Status","Status",""
"WorkflowInfoContent",a003,"Creator","Creator",""
"WorkflowInfoContent",a004,"Created","Created",""
"WorkflowInfoContent",a005,"Last Modified","Last Modified",""
"WorkflowInfoContent",a006,"Submitted","Submitted",""
"WorkflowInfoContent",a007,"Rejected","Rejected",""
"WorkflowInfoContent",a008,"Expired","Expired",""
"WorkflowInfoContent",a009,"Completed","Completed",""
"WorkflowInfoContent",a010,"Requests","Requests",""
"WorkflowInfoContent",a011,"Requested","Requested",""
"WorkflowInfoContent",a012,"Expires","Expires",""
"WorkflowInfoContent",a013,"Name","Name",""
"WorkflowInfoContent",a014,"Actor","Actor",""
"WorkflowInfoContent",a015,"Status","Status",""
"WorkflowInfoContent",a016,"Errors","Errors",""
"WorkflowInfoContent",a017,"Timestamp","Timestamp",""
"WorkflowInfoContent",a018,"Code","Code",""
"WorkflowInfoContent",a019,"Description","Description",""
"WorkflowInfoContent",a020,"Reason","Reason",""
