Cp1252
"DisplaySettingView",a001,"Show Counts","Show Counts",""
"NotificationSettingView",a001,"When request sent","When request sent",""
"NotificationSettingView",a002,"When action submitted","When action submitted",""
"NotificationSettingView",a003,"When workflow completed","When workflow completed",""
"NotificationSettingView",a004,"When workflow error","When workflow error",""
"NotificationSettingView",a005,"When workflow rejected","When workflow rejected",""
"NotificationSettingView",a006,"When workflow expired","When workflow expired",""
"PersonInfoView",a001,"Name","Name",""
"PersonInfoView",a002,"Email","Email",""
"PersonInfoView",a003,"Phone","Phone",""
"PersonInfoView",a004,"Mobile Email","Mobile Email",""
"PersonInfoView",a005,"Mobile Phone","Mobile Phone",""
"PersonInfoView",a006,"Employee","Employee",""
"PersonInfoView",a007,"Roles","Roles",""
"PersonInfoView",a008,"Report To","Report To",""
"PersonInfoView",a009,"Delegator","Delegator",""
"PersonInfoView",a010,"Available Models","Available Models",""
"UserPreferencesPanel",a001,"User Preferences","User Preferences",""
"UserPreferencesPanel",a002,"Close","Close",""
"UserPreferencesPanel",a003,"Person Info.","Person Info.",""
"UserPreferencesPanel",a004,"Notifications","Notifications",""
"UserPreferencesPanel",a005,"Display","Display",""
"UserPreferencesPanel",a006,"Save and Close","Save and Close",""
"UserPreferencesPanel",a007,"Apply Changes","Apply Changes",""
