Shift_JIS
"RoleAssignmentActionAssign",a001,"Please change requested roles if required.","必要であればロールを編集してください。",""
"RoleAssignmentActionWizard",1001,"Assign Role","ロールの割当",""
"RoleAssignmentActionWizard",1002,"View","表示",""
"RoleAssignmentActionWizard",1003,"Activities","アクティビティ",""
"RoleAssignmentActionWizard",1004,"Assign","ロール割当",""
"RoleAssignmentActivities",1000,"RoleAssignmentAction","ロール割当アクション",""
"RoleAssignmentActivities",1001,"Approval","承認アクション",""
"RoleAssignmentApprovalWizard",1001,"Role Approval","ロール割当承認",""
"RoleAssignmentApprovalWizard",1002,"View","表示",""
"RoleAssignmentApprovalWizard",1003,"Activities","アクティビティ",""
"RoleAssignmentApprovalWizard",1004,"Approve","承認",""
"RoleAssignmentExit",a001,"Continue viewing","表示を続行",""
"RoleAssignmentExit",a002,"Continue editing","編集を続行",""
"RoleAssignmentExit",a003,"To finish this wizard, push Cancel button.","ウィザードを終了するにはキャンセルボタンを押してください。",""
"RoleAssignmentMainEntry",a001,"Title","タイトル",""
"RoleAssignmentMainEntry",a002,"Creator","作成者",""
"RoleAssignmentMainEntry",a003,"Requester","申請者",""
"RoleAssignmentMainEntry",a004,"Name","名称",""
"RoleAssignmentMainEntry",a005,"Description","説明",""
"RoleAssignmentMainEntry",a006,"Name","名称",""
"RoleAssignmentMainEntry",a007,"Please choose roles to request to be assigned.","割当を要求するロールを選択して下さい。",""
"RoleAssignmentMainEntry",a008,"Add","追加",""
"RoleAssignmentMainEntry",a009,"Remove","削除",""
"RoleAssignmentMainEntry",a010,"Available Roles","使用可能なロール",""
"RoleAssignmentMainEntry",a011,"Requested Roles","要求するロール",""
"RoleAssignmentMainEntry",a012,"Comment","コメント",""
"RoleAssignmentMainEntry",a013,"Please write your requirement","具体的に要望を記述してください。",""
"RoleAssignmentMainView",a001,"Title","タイトル",""
"RoleAssignmentMainView",a002,"Creator","作成者",""
"RoleAssignmentMainView",a003,"Requester","申請者",""
"RoleAssignmentMainView",a004,"Available Roles","使用可能なロール",""
"RoleAssignmentMainView",a005,"Name","名称",""
"RoleAssignmentMainView",a006,"Description","説明",""
"RoleAssignmentMainView",a007,"Requested Roles","要求するロール",""
"RoleAssignmentMainView",a008,"Name","名称",""
"RoleAssignmentMainView",a009,"Comment","コメント",""
"RoleAssignmentRequestUIValidator",1,"Missing title","タイトルが未入力です",""
"RoleAssignmentRequestUIValidator",2,"Empty requested roles","要求するロールが選択されていません",""
"RoleAssignmentWizard",1001,"Role Assignment Request","ロール割当リクエスト",""
"RoleAssignmentWizard",1002,"Main","メイン",""
"RoleAssignmentWizard",1003,"Activities","アクティビティ",""
"RoleAssignmentWizard",1004,"Info","情報",""
